uri,constituency > label,election > label,electorate,majority,result of election,turnout
http://data.parliament.uk/resources/1223189,Chorley,2019 General Election,78177,17392,Spk Gain,39870
http://data.parliament.uk/resources/1223190,Christchurch,2019 General Election,71520,24617,Con Hold,51951
http://data.parliament.uk/resources/1223191,Cities of London and Westminster,2019 General Election,63700,3953,Con Hold,42723
http://data.parliament.uk/resources/1223192,City of Chester,2019 General Election,76057,6164,Lab Hold,54560
http://data.parliament.uk/resources/1223193,City of Durham,2019 General Election,71271,5025,Lab Hold,48859
http://data.parliament.uk/resources/1223194,Clacton,2019 General Election,70930,24702,Con Hold,43506
http://data.parliament.uk/resources/1223195,Cleethorpes,2019 General Election,73689,21418,Con Hold,46339
http://data.parliament.uk/resources/1223196,Clwyd South,2019 General Election,53919,1239,Con Gain,36306
http://data.parliament.uk/resources/1223197,Clwyd West,2019 General Election,57714,6747,Con Hold,40203
http://data.parliament.uk/resources/1223198,Colchester,2019 General Election,82625,9423,Con Hold,53373
http://data.parliament.uk/resources/1223199,Colne Valley,2019 General Election,84174,5103,Con Gain,60892
http://data.parliament.uk/resources/1223200,Congleton,2019 General Election,80930,18561,Con Hold,57233
http://data.parliament.uk/resources/1223201,Copeland,2019 General Election,61693,5842,Con Hold,42523
http://data.parliament.uk/resources/1223202,Corby,2019 General Election,86153,10268,Con Hold,60475
http://data.parliament.uk/resources/1223203,Coventry North East,2019 General Election,76006,7692,Lab Hold,44444
http://data.parliament.uk/resources/1223204,Coventry North West,2019 General Election,75247,208,Lab Hold,47744
http://data.parliament.uk/resources/1223205,Coventry South,2019 General Election,70979,401,Lab Hold,45044
http://data.parliament.uk/resources/1223206,Crawley,2019 General Election,74207,8360,Con Hold,49899
http://data.parliament.uk/resources/1223207,Crewe and Nantwich,2019 General Election,80321,8508,Con Gain,54032
http://data.parliament.uk/resources/1223208,Croydon Central,2019 General Election,81407,5949,Lab Hold,54045
http://data.parliament.uk/resources/1223209,Croydon North,2019 General Election,88468,24673,Lab Hold,55609
http://data.parliament.uk/resources/1223210,Croydon South,2019 General Election,83982,12339,Con Hold,59358
http://data.parliament.uk/resources/1223211,Cynon Valley,2019 General Election,51134,8822,Lab Hold,30236
http://data.parliament.uk/resources/1223212,Dagenham and Rainham,2019 General Election,71045,293,Lab Hold,43735
http://data.parliament.uk/resources/1223213,Darlington,2019 General Election,66397,3294,Con Gain,43498
http://data.parliament.uk/resources/1223214,Dartford,2019 General Election,82209,19160,Con Hold,54023
http://data.parliament.uk/resources/1223215,Daventry,2019 General Election,77423,26080,Con Hold,57403
http://data.parliament.uk/resources/1223216,Delyn,2019 General Election,54560,865,Con Gain,38370
http://data.parliament.uk/resources/1223217,Denton and Reddish,2019 General Election,66234,6175,Lab Hold,38588
http://data.parliament.uk/resources/1223218,Derby North,2019 General Election,73199,2540,Con Gain,47017
http://data.parliament.uk/resources/1223219,Derby South,2019 General Election,73062,6019,Lab Hold,42462
http://data.parliament.uk/resources/1223220,Derbyshire Dales,2019 General Election,65080,17381,Con Hold,50016
http://data.parliament.uk/resources/1223221,Devizes,2019 General Election,73372,23993,Con Hold,50954
http://data.parliament.uk/resources/1223222,Dewsbury,2019 General Election,81253,1561,Con Gain,56389
http://data.parliament.uk/resources/1223223,Don Valley,2019 General Election,75356,3630,Con Gain,45437
http://data.parliament.uk/resources/1223224,Doncaster Central,2019 General Election,71389,2278,Lab Hold,41581
http://data.parliament.uk/resources/1223225,Doncaster North,2019 General Election,72362,2370,Lab Hold,40698
http://data.parliament.uk/resources/1223226,Dover,2019 General Election,76355,12278,Con Hold,50701
http://data.parliament.uk/resources/1223227,Dudley North,2019 General Election,61936,11533,Con Gain,36684
http://data.parliament.uk/resources/1223228,Dudley South,2019 General Election,60731,15565,Con Hold,36576
http://data.parliament.uk/resources/1223229,Dulwich and West Norwood,2019 General Election,80331,27310,Lab Hold,55778
http://data.parliament.uk/resources/1223230,Dwyfor Meirionnydd,2019 General Election,44362,4740,PC Hold,29928
http://data.parliament.uk/resources/1223231,Ealing Central and Acton,2019 General Election,75510,13300,Lab Hold,54807
http://data.parliament.uk/resources/1223232,Ealing North,2019 General Election,74473,12269,Lab Hold,49631
http://data.parliament.uk/resources/1223233,"Ealing, Southall",2019 General Election,64581,16084,Lab Hold,42217
http://data.parliament.uk/resources/1223234,Easington,2019 General Election,61182,6581,Lab Hold,34583
http://data.parliament.uk/resources/1223235,East Antrim,2019 General Election,64830,6706,DUP Hold,37261
http://data.parliament.uk/resources/1223236,East Devon,2019 General Election,87168,6708,Con Hold,64073
http://data.parliament.uk/resources/1223237,East Ham,2019 General Election,88319,33176,Lab Hold,54628
http://data.parliament.uk/resources/1223238,East Hampshire,2019 General Election,76478,19696,Con Hold,56895
http://data.parliament.uk/resources/1223239,East Londonderry,2019 General Election,69246,9607,DUP Hold,39302
http://data.parliament.uk/resources/1223240,East Surrey,2019 General Election,83148,24040,Con Hold,59690
http://data.parliament.uk/resources/1223241,East Worthing and Shoreham,2019 General Election,75194,7474,Con Hold,53128
http://data.parliament.uk/resources/1223242,East Yorkshire,2019 General Election,80923,22787,Con Hold,52769
http://data.parliament.uk/resources/1223243,Eastbourne,2019 General Election,79307,4331,Con Gain,55134
http://data.parliament.uk/resources/1223244,Eastleigh,2019 General Election,83880,15607,Con Hold,58971
http://data.parliament.uk/resources/1223245,Eddisbury,2019 General Election,73700,18443,Con Hold,52971
http://data.parliament.uk/resources/1223246,Edmonton,2019 General Election,65747,16015,Lab Hold,40341
http://data.parliament.uk/resources/1223247,Ellesmere Port and Neston,2019 General Election,70327,8764,Lab Hold,48746
http://data.parliament.uk/resources/1223248,Elmet and Rothwell,2019 General Election,80957,17353,Con Hold,58225
http://data.parliament.uk/resources/1223249,Eltham,2019 General Election,64086,3197,Lab Hold,43689
http://data.parliament.uk/resources/1223250,Enfield North,2019 General Election,68301,6492,Lab Hold,45050
http://data.parliament.uk/resources/1223251,"Enfield, Southgate",2019 General Election,65525,4450,Lab Hold,47276
http://data.parliament.uk/resources/1223252,Epping Forest,2019 General Election,74304,22173,Con Hold,50268
http://data.parliament.uk/resources/1223253,Epsom and Ewell,2019 General Election,81138,17873,Con Hold,59451
http://data.parliament.uk/resources/1223254,Erewash,2019 General Election,72523,10606,Con Hold,48814
http://data.parliament.uk/resources/1223255,Erith and Thamesmead,2019 General Election,65399,3758,Lab Hold,41384
http://data.parliament.uk/resources/1223256,Esher and Walton,2019 General Election,81184,2743,Con Hold,63084
http://data.parliament.uk/resources/1223257,Exeter,2019 General Election,82054,10403,Lab Hold,56192
http://data.parliament.uk/resources/1223258,Fareham,2019 General Election,78337,26086,Con Hold,57250
http://data.parliament.uk/resources/1223259,Faversham and Mid Kent,2019 General Election,73403,21976,Con Hold,50394
http://data.parliament.uk/resources/1223260,Feltham and Heston,2019 General Election,80934,7859,Lab Hold,47811
http://data.parliament.uk/resources/1223261,Fermanagh and South Tyrone,2019 General Election,72848,57,SF Hold,50762
http://data.parliament.uk/resources/1223262,Filton and Bradley Stoke,2019 General Election,74016,5646,Con Hold,53752
http://data.parliament.uk/resources/1223263,Finchley and Golders Green,2019 General Election,77573,6562,Con Hold,55109
http://data.parliament.uk/resources/1223264,Folkestone and Hythe,2019 General Election,88272,21337,Con Hold,59005
http://data.parliament.uk/resources/1223265,Forest of Dean,2019 General Election,71438,15869,Con Hold,51475
http://data.parliament.uk/resources/1223266,Foyle,2019 General Election,74346,17110,SDLP Gain,47144
http://data.parliament.uk/resources/1223267,Fylde,2019 General Election,66847,16611,Con Hold,46659
http://data.parliament.uk/resources/1223268,Gainsborough,2019 General Election,76343,22967,Con Hold,51046
